Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  PAL_d1_m8-VR-002.txt
Log File Name:                   PAL_d1_m8-VR-002.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            102501584
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   PAL_d1_m8-VR-002.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     3
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 True Threshold 0.000000
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            False
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        VRBL - sgamma 1.10 1.00 
        VRNode - sgamma 1.10 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      4
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	No RJ Local Branch	No RJ Local Node	
1000000	390.569433	1	-1.461385125196	1.189704645816	-0.044823949144	0.020988167465	0.000301992516	0.942476712343	N\A	0.066460242682	0.009015230915	0.029921923037	50	28	
1050000	392.469966	1	-1.324520006113	1.207280366931	-0.036373645449	-0.029830341854	0.000303144544	0.942281185010	N\A	0.067464875481	0.009679688367	0.031719898238	46	30	
1100000	402.286129	1	-1.620627875609	1.343621326582	-0.067094193592	-0.007594240289	0.000459621794	0.945968721392	N\A	0.058321481960	0.008549385726	0.028798203683	45	31	
1150000	397.034652	1	-1.287787186536	1.143301663111	-0.036845174773	0.012253693491	0.000216190362	0.949137425538	N\A	0.055911945260	0.008366003923	0.022503428412	48	28	
1200000	389.352201	1	-1.252554932581	1.207141305718	-0.046888924042	0.019971155940	0.000215451965	0.939676797656	N\A	0.065670111009	0.008688496612	0.031470856445	50	29	
1250000	387.485406	1	-1.486400475064	1.225353027715	-0.047596305696	0.017218881630	0.000523942779	0.942975158883	N\A	0.070525600000	0.009484186484	0.031428018270	39	26	
1300000	400.553628	1	-1.110925876874	1.132997545461	-0.027657728498	-0.027329643833	0.000326055779	0.951370586512	N\A	0.060844185590	0.008898590513	0.028620670423	51	32	
1350000	387.250374	1	-1.279462146606	1.171959869307	-0.044875801733	0.030358528993	0.000219562257	0.938454764847	N\A	0.067941645645	0.009359905064	0.031183444174	49	24	
1400000	411.751313	1	-1.159493473490	1.144781948012	-0.042789097495	0.020217370210	0.000309458570	0.950423252320	N\A	0.062255358255	0.008088082102	0.028677232603	54	34	
1450000	399.731706	1	-1.319177128266	1.233089507350	-0.043642611244	-0.014764516430	0.000366397171	0.943787053525	N\A	0.060855823583	0.008492736723	0.027327742638	39	21	
1500000	405.199353	1	-1.242323407582	1.223163081126	-0.055391578477	0.031791703272	0.000258784413	0.945630695299	N\A	0.060181296209	0.008365755329	0.028437945937	44	24	
1550000	399.330396	1	-1.597764747024	1.269907252918	-0.049645911163	-0.023766823169	0.000285693088	0.944265241523	N\A	0.063914462200	0.008384126140	0.029164670132	44	34	
1600000	403.357624	1	-1.613994985565	1.275279868403	-0.054182610366	-0.009366581374	0.000246834356	0.945869627108	N\A	0.051843432852	0.007871888751	0.020650840500	44	28	
1650000	404.045041	1	-1.249053628777	1.110754133746	-0.034382133616	0.011400666256	0.000297908635	0.947297338466	N\A	0.062176851508	0.007893944042	0.030506981423	47	32	
1700000	398.455820	1	-1.309399582900	1.258108952584	-0.058523871173	0.001485446801	0.000593229930	0.934624383318	N\A	0.069451089100	0.009564265096	0.032562968534	55	30	
1750000	395.638673	1	-1.437124859817	1.251342405229	-0.038819288505	-0.061651397046	0.000242991866	0.945646887189	N\A	0.054819274561	0.007650683361	0.025855809308	55	33	
1800000	404.989664	1	-1.327034475044	1.238349338335	-0.054939485353	0.032439612310	0.000247229924	0.956223905760	N\A	0.048924600814	0.007269782101	0.024372350235	52	34	
1850000	402.081150	1	-1.489278348341	1.214804630140	-0.056444112774	0.046500355126	0.000274219651	0.945496419980	N\A	0.062265518659	0.008470366076	0.031921506235	43	32	
1900000	389.104889	1	-1.437583636094	1.194889800791	-0.039514798467	-0.020631846499	0.000415557114	0.935729790560	N\A	0.072573197285	0.010166853893	0.034086794681	42	20	
1950000	387.948127	1	-1.473598760819	1.211946812927	-0.037798989225	-0.021585016417	0.000595876409	0.937085413132	N\A	0.073927416177	0.009654326800	0.034125771278	42	24	
2000000	402.944218	1	-1.431152317862	1.211293579199	-0.055400730486	0.042942884636	0.000305207123	0.941672167023	N\A	0.067285987114	0.008694397894	0.033381568548	47	28	
2050000	405.887225	1	-1.225105962407	1.245710284233	-0.049529768226	-0.039944949109	0.000080878416	0.940044928465	N\A	0.063160389861	0.008110778813	0.029000494031	60	25	
2100000	395.865429	1	-1.373143844094	1.290196567030	-0.055320843846	-0.009829832394	0.000111902903	0.945263052026	N\A	0.061000392815	0.008540104201	0.027699060867	47	32	
2150000	401.098002	1	-1.228957074699	1.212858027184	-0.052247877983	0.014989490988	0.000044592827	0.938825501292	N\A	0.063786725747	0.009870123985	0.031068623991	50	32	
2200000	399.553430	1	-1.068340516818	1.107278973762	-0.046907586898	0.063004596674	0.000053414952	0.947910483648	N\A	0.062945905661	0.008278686249	0.028217387588	46	28	
2250000	401.592066	1	-1.529647274271	1.223250505179	-0.043272874080	-0.011627862203	0.000284546205	0.947132742001	N\A	0.071172103139	0.009940872603	0.025284533437	44	21	
2300000	411.607540	1	-1.336437680726	1.181699443329	-0.036536382502	-0.021357046199	0.000554787874	0.956250601072	N\A	0.056318776045	0.007951061335	0.027017233881	55	31	
2350000	386.939216	1	-1.408275195923	1.124186245306	-0.033786387891	0.012759988976	0.000359311798	0.939764763830	N\A	0.068821016181	0.009492252072	0.032494526916	32	29	
2400000	398.569276	1	-1.401600918122	1.297671758742	-0.056012014846	-0.038443820981	0.000248659511	0.942586514862	N\A	0.063555811737	0.008722015280	0.030549985800	49	32	
2450000	393.443749	1	-1.382231237127	1.297691112184	-0.062410898940	-0.000922187118	0.000182875798	0.935657938793	N\A	0.061347646841	0.008204361597	0.029157825351	64	20	
2500000	405.155163	1	-1.559645274537	1.234122761322	-0.049944084668	-0.003348757269	0.000265729586	0.950582229272	N\A	0.058217635827	0.007780691809	0.028430656213	45	32	
2550000	401.925243	1	-1.134726646622	1.157682609805	-0.040905172205	0.006557063998	0.000187911184	0.947805166041	N\A	0.058146258752	0.007573185999	0.028162448154	47	34	
2600000	385.480871	1	-1.330431009849	1.217040848202	-0.031645504930	-0.058874408334	0.000228085739	0.936369168349	N\A	0.068400065481	0.009090391529	0.032018204666	53	26	
2650000	390.171089	1	-1.237534947141	1.187792549799	-0.038953302627	-0.009710615229	0.000239570608	0.942028705546	N\A	0.062380111700	0.008484333830	0.031443889438	57	32	
2700000	399.227317	1	-1.285767349716	1.144839144974	-0.050474571409	0.080122288856	0.000247573603	0.943102371955	N\A	0.064897640046	0.009018330714	0.029103204217	61	27	
2750000	404.443820	1	-1.345006777674	1.125426237815	-0.033738192668	-0.004549558937	0.000281642942	0.944060690208	N\A	0.060725190030	0.008970640489	0.029362450897	41	18	
2800000	380.877950	1	-1.288834126235	1.202782942257	-0.045085669570	0.002748437482	0.000244179130	0.930922191498	N\A	0.073741784740	0.009919547459	0.035020292444	54	27	
2850000	399.140072	1	-1.490542286926	1.199609107480	-0.052603462251	0.061035574201	0.000311319901	0.940207658781	N\A	0.064933549894	0.009245570205	0.028878659176	53	23	
2900000	398.683354	1	-1.555602359417	1.263272064563	-0.051717523267	-0.003417792785	0.000292847199	0.945164789774	N\A	0.069665343857	0.009605725213	0.031121064868	43	26	
2950000	406.878182	1	-1.216409744480	1.162359382458	-0.056229014989	0.071391335527	0.000328073844	0.945450206480	N\A	0.066687037261	0.009052691368	0.030174498363	48	17	
3000000	381.098100	1	-1.325424906942	1.155921628754	-0.045356049808	0.034764937000	0.000227877545	0.941273037570	N\A	0.066265300645	0.009506086118	0.032228578229	45	32	
3050000	406.789875	1	-1.348455121300	1.181021733206	-0.042844883584	0.000716273263	0.000174287044	0.943094465672	N\A	0.059116260808	0.007558980942	0.027800110130	51	31	
3100000	384.576720	1	-1.457850837249	1.181569252247	-0.043219746129	0.004809681064	0.000305900179	0.935713085368	N\A	0.068098586266	0.008518473837	0.031484727994	50	27	
3150000	396.867906	1	-1.485037169284	1.272676488078	-0.059326768830	0.003393349289	0.000300049846	0.941075443287	N\A	0.067682925940	0.009309746625	0.033843370213	45	21	
3200000	401.449908	1	-1.473390686888	1.202122902674	-0.036795879493	-0.017485943930	0.000133844891	0.957495729731	N\A	0.055607456122	0.008430935298	0.022797899499	50	27	
